target,model,permutation_index,mae_skill_vs_mean_baseline
contact_angle_deg,Random Forest,198,0.5341736607142877
contact_angle_deg,Random Forest,199,-0.3286154910714103
contact_angle_deg,Random Forest,200,-0.17885587797622549
pinning_fraction,Ridge,1,-2.29916651581924
pinning_fraction,Ridge,2,-2.804243419182421
pinning_fraction,Ridge,3,0.11915410067385357
pinning_fraction,Ridge,4,-0.5863065882304808
pinning_fraction,Ridge,5,-2.092341713504078
pinning_fraction,Ridge,6,-2.0689688837801756
pinning_fraction,Ridge,7,-2.5912824410007658
pinning_fraction,Ridge,8,-2.092341713504078
pinning_fraction,Ridge,9,-1.022964904615947
pinning_fraction,Ridge,10,-2.120956221875985
pinning_fraction,Ridge,11,-1.022964904615947
pinning_fraction,Ridge,12,-2.255711072592235
pinning_fraction,Ridge,13,-2.3447320362579083
pinning_fraction,Ridge,14,-2.120956221875985
pinning_fraction,Ridge,15,-2.255711072592235
pinning_fraction,Ridge,16,-2.0689688837801756
pinning_fraction,Ridge,17,-2.5912824410007658
pinning_fraction,Ridge,18,-1.6621118329057183
pinning_fraction,Ridge,19,-1.5900312229078104
pinning_fraction,Ridge,20,-1.2821738247079866
pinning_fraction,Ridge,21,-2.0525455852757957
pinning_fraction,Ridge,22,-0.2926354665026173
pinning_fraction,Ridge,23,-2.0525455852757957
pinning_fraction,Ridge,24,-2.092341713504078
pinning_fraction,Ridge,25,-0.2926354665026173
pinning_fraction,Ridge,26,-2.064512935709138
pinning_fraction,Ridge,27,0.033057354751786894
pinning_fraction,Ridge,28,-2.0104540438970724
pinning_fraction,Ridge,29,0.033057354751786894
pinning_fraction,Ridge,30,-2.064512935709138
pinning_fraction,Ridge,31,0.030766691590050577
pinning_fraction,Ridge,32,-1.3099019849093334
pinning_fraction,Ridge,33,-0.2926354665026173
pinning_fraction,Ridge,34,0.033057354751786894
pinning_fraction,Ridge,35,-1.1620276253791715
pinning_fraction,Ridge,36,0.033057354751786894
pinning_fraction,Ridge,37,0.056858271511626035
pinning_fraction,Ridge,38,-2.0525455852757957
pinning_fraction,Ridge,39,-1.0497689528319343
pinning_fraction,Ridge,40,-2.064512935709138
pinning_fraction,Ridge,41,-1.2688285120745473
pinning_fraction,Ridge,42,-1.0419201115637593
