relative_path,sha256,contact_angle_deg,contact_angle_sd_deg,n_contact_angle,contact_angle_value_source,hysteresis_deg,rolloff_angle_deg,pinning_fraction,figure_folder,primer,material,sieving,coating_method,test_type,cycle,spray_cycle,view,image_role,condition_key,duplicate_sha256
Figure 6/500C SP coatings_abrasion and tape tesing_wetting data/500C SP_Abrasion test cycle_2_wetting data.xlsx,d60a54441078a158dee20c35332fdfaca03fda82c2ad8511016d12b0da4dd1e4,152.56,1.4221262581742362,10,reported_CA_Stabw,2.2912677602786173,6.0,0.2,Figure 6,PUR,500C,unknown,spray,abrasion,2.0,,top,coating,500C|PUR|unknown|spray|abrasion|2|sprayna,False
Figure 6/500C SP coatings_abrasion and tape tesing_wetting data/500C SP_Abrasion test cycle_3_wetting data.xlsx,e75d5b8686babe69855db219ecf429a650301e0a7955a002684aa1d56beb4ce8,152.18,1.7702270210040854,10,reported_CA_Stabw,1.1120794075205993,8.0,0.6,Figure 6,PUR,500C,unknown,spray,abrasion,3.0,,top,coating,500C|PUR|unknown|spray|abrasion|3|sprayna,False
Figure 6/500C SP coatings_abrasion and tape tesing_wetting data/500C SP_Abrasion test cycle_4_wetting data.xlsx,b82603834e1a0c4c204f47a993bafcb012109589f4236ab53807e3e72fd72791,148.715,5.084734667031151,10,reported_CA_Stabw,,16.0,1.0,Figure 6,PUR,500C,unknown,spray,abrasion,4.0,,top,coating,500C|PUR|unknown|spray|abrasion|4|sprayna,False
Figure 6/500C SP coatings_abrasion and tape tesing_wetting data/500C SP_Abrasion test cycle_5_wetting data.xlsx,1c4fbbc5e504d37af77ed230ef69acdcaf2858c0e85f5892c067febc1088372b,147.89,2.7713487918726365,10,reported_CA_Stabw,,,1.0,Figure 6,PUR,500C,unknown,spray,abrasion,5.0,,top,coating,500C|PUR|unknown|spray|abrasion|5|sprayna,False
Figure 6/500C SP coatings_abrasion and tape tesing_wetting data/500C SP_Tape test cycle_0_wetting data.xlsx,389f53121557a26d8142adeaaa5a3d1e399a580785873e023568ad8d537bd0be,151.74,1.331339969203051,5,reported_CA_Stabw,0.4997710075667025,5.0,0.0,Figure 6,PUR,500C,unknown,spray,tape,0.0,,top,coating,500C|PUR|unknown|spray|tape|0|sprayna,False
Figure 6/500C SP coatings_abrasion and tape tesing_wetting data/500C SP_Tape test cycle_1_wetting data.xlsx,92cd15f655f4ade1e6dd7df7a2a8bd3cf9b6c95acd2d3d96acbfdbd461c9e3ca,151.74,1.33134,5,reported_CA_Stabw,4.411051373954592,6.0,0.1,Figure 6,PUR,500C,unknown,spray,tape,1.0,,top,coating,500C|PUR|unknown|spray|tape|1|sprayna,False
Figure 6/500C SP coatings_abrasion and tape tesing_wetting data/500C SP_Tape test cycle_2_wetting data.xlsx,70bc48e295a5ee695d8db3198281b1aadbdb1b6ac1f83263d96b2a0d1af1c148,151.1,1.184215007133,5,reported_CA_Stabw,1.0750256258824702,8.0,0.4,Figure 6,PUR,500C,unknown,spray,tape,2.0,,top,coating,500C|PUR|unknown|spray|tape|2|sprayna,False
Figure 6/500C SP coatings_abrasion and tape tesing_wetting data/500C SP_Tape test cycle_3_wetting data.xlsx,c1b0b1253f9df37181434eb487f3c6db04cb579d19b3e80109b399177402f7e1,148.07999999999998,2.5965336783040853,5,reported_CA_Stabw,,11.0,1.0,Figure 6,PUR,500C,unknown,spray,tape,3.0,,top,coating,500C|PUR|unknown|spray|tape|3|sprayna,False
Figure 6/500C SP coatings_abrasion and tape tesing_wetting data/500C SP_Tape test cycle_4_wetting data.xlsx,aafd07b9825d569007a5d96b70c3dc449bffae74132e9b3be874f84bf9ba045c,144.29000000000002,3.541498894978578,5,reported_CA_Stabw,,17.0,1.0,Figure 6,PUR,500C,unknown,spray,tape,4.0,,top,coating,500C|PUR|unknown|spray|tape|4|sprayna,False
Figure 6/500C SP coatings_abrasion and tape tesing_wetting data/500C SP_Tape test cycle_5_wetting data.xlsx,24bd7d3762159af3063d9bf9848b8942403d7e02c814b4b2fef699820adf4588,143.1,3.1570751664005843,5,reported_CA_Stabw,,,1.0,Figure 6,PUR,500C,unknown,spray,tape,5.0,,top,coating,500C|PUR|unknown|spray|tape|5|sprayna,False
Figure 6/900C SP coatings_abrasion and tape tesing_wetting data/Cycle 0/Abrasion.xlsx,e63e4db9a13ac29b6384f83eb212d6e33ad1aeadf52926c2609a9cd8c9e38ead,154.46,1.5111168224124754,10,reported_CA_Stabw,1.2123544657097227,5.0,0.0,Figure 6,PUR,900C,unknown,spray,abrasion,0.0,,top,coating,900C|PUR|unknown|spray|abrasion|0|sprayna,False
Figure 6/900C SP coatings_abrasion and tape tesing_wetting data/Cycle 0/Tape.xlsx,f26fad879658a0d5d2171526242c1fec4385ff4ced9a41ab4cab7c1292f40569,153.14999999999998,0.7598469541909326,5,reported_CA_Stabw,0.9322278062943118,5.0,0.0,Figure 6,PUR,900C,unknown,spray,tape,0.0,,top,coating,900C|PUR|unknown|spray|tape|0|sprayna,False
Figure 6/900C SP coatings_abrasion and tape tesing_wetting data/Cycle 1/Abrasion.xlsx,e14c8da4af0e67cb4fe17859a0608a47ab8793c92b9663e19a9dfe7e5abe8dd3,152.985,1.1504993576462381,10,reported_CA_Stabw,1.103155197336497,5.0,0.0,Figure 6,PUR,900C,unknown,spray,abrasion,1.0,,top,coating,900C|PUR|unknown|spray|abrasion|1|sprayna,False
Figure 6/900C SP coatings_abrasion and tape tesing_wetting data/Cycle 1/Tape.xlsx,20f9e42f97f8aa6b895765f607603b786df88f384324cd1fae028ace388378a2,152.85,2.4097574809095557,5,reported_CA_Stabw,1.9958266670031435,5.0,0.0,Figure 6,PUR,900C,unknown,spray,tape,1.0,,top,coating,900C|PUR|unknown|spray|tape|1|sprayna,False
Figure 6/900C SP coatings_abrasion and tape tesing_wetting data/Cycle 10/Abrasion.xlsx,3aa87752aa39f123d3723ed5ca12507b0267a3099864122c95380117f68df28b,137.985,4.8968713307593505,10,reported_CA_Stabw,,15.0,1.0,Figure 6,PUR,900C,unknown,spray,abrasion,10.0,,top,coating,900C|PUR|unknown|spray|abrasion|10|sprayna,False
Figure 6/900C SP coatings_abrasion and tape tesing_wetting data/Cycle 10/Tape.xlsx,4a38ae3e56f41f561c815b97a602179afb686166e4c51999d373f3e8d05f5214,148.11,1.6099222533754185,5,reported_CA_Stabw,,15.0,1.0,Figure 6,PUR,900C,unknown,spray,tape,10.0,,top,coating,900C|PUR|unknown|spray|tape|10|sprayna,False
Figure 6/900C SP coatings_abrasion and tape tesing_wetting data/Cycle 15/Abrasion.xlsx,1ee2d2e78bc72fccdf3f29573a9750f4aeefc5a0d49fc7592ba8d63048ac02eb,144.51,5.879710877245577,10,computed_static_replicates,,,1.0,Figure 6,PUR,900C,unknown,spray,abrasion,15.0,,top,coating,900C|PUR|unknown|spray|abrasion|15|sprayna,False
Figure 6/900C SP coatings_abrasion and tape tesing_wetting data/Cycle 15/Tape.xlsx,2ffef18a9a98087684a5abc9b3dcec6c88dd66ef59b3473071db1d1fdbd609d6,146.17,4.619740252438437,5,computed_static_replicates,,,1.0,Figure 6,PUR,900C,unknown,spray,tape,15.0,,top,coating,900C|PUR|unknown|spray|tape|15|sprayna,False
